state,cases,date
North Carolina,158985,2020-09-01
North Dakota,10800,2020-09-01
Northern Marianas,54,2020-09-01
Ohio,117584,2020-09-01
Oklahoma,59715,2020-09-01
Oregon,25571,2020-09-01
Palau,0,2020-09-01
Pennsylvania,130536,2020-09-01
Puerto Rico,31383,2020-09-01
Rhode Island,21454,2020-09-01
South Carolina,114093,2020-09-01
South Dakota,11571,2020-09-01
Tennessee,147353,2020-09-01
Texas,592137,2020-09-01
Utah,50870,2020-09-01
Vermont,1577,2020-09-01
Virgin Islands,1052,2020-09-01
Virginia,116579,2020-09-01
Washington,72161,2020-09-01
West Virginia,9540,2020-09-01
Wisconsin,77092,2020-09-01
Wyoming,3684,2020-09-01
Alabama,119254,2020-09-01
Alaska,4895,2020-09-01
American Samoa,0,2020-09-01
Arizona,199459,2020-09-01
Arkansas,58023,2020-09-01
California,679099,2020-09-01
Colorado,55994,2020-09-01
Connecticut,52220,2020-09-01
Delaware,16976,2020-09-01
District of Columbia,13722,2020-09-01
Florida,602113,2020-09-01
Georgia,260590,2020-09-01
Guam,1232,2020-09-01
Hawaii,6738,2020-09-01
Idaho,30780,2020-09-01
Illinois,227044,2020-09-01
Indiana,89359,2020-09-01
Iowa,58215,2020-09-01
Kansas,39937,2020-09-01
Kentucky,45230,2020-09-01
Louisiana,145661,2020-09-01
Maine,4416,2020-09-01
Marshall Islands,0,2020-09-01
Maryland,106063,2020-09-01
Massachusetts,126503,2020-09-01
Michigan,109480,2020-09-01
Micronesia,0,2020-09-01
Minnesota,72390,2020-09-01
Mississippi,80695,2020-09-01
Missouri,78062,2020-09-01
Montana,6785,2020-09-01
Nebraska,32727,2020-09-01
Nevada,66938,2020-09-01
New Hampshire,7159,2020-09-01
New Jersey,190306,2020-09-01
New Mexico,24732,2020-09-01
New York,432458,2020-09-01
North Carolina,158985,2020-09-01
North Dakota,10800,2020-09-01
Northern Marianas,54,2020-09-01
Ohio,117584,2020-09-01
Oklahoma,59715,2020-09-01
Oregon,25571,2020-09-01
Palau,0,2020-09-01
Pennsylvania,130536,2020-09-01
Puerto Rico,31383,2020-09-01
Rhode Island,21454,2020-09-01
South Carolina,114093,2020-09-01
South Dakota,11571,2020-09-01
Tennessee,147353,2020-09-01
Texas,592137,2020-09-01
Utah,50870,2020-09-01
Vermont,1577,2020-09-01
Virgin Islands,1052,2020-09-01
Virginia,116579,2020-09-01
Washington,72161,2020-09-01
West Virginia,9540,2020-09-01
Wisconsin,77092,2020-09-01
Wyoming,3684,2020-09-01
Alabama,119254,2020-09-01
Alaska,4895,2020-09-01
American Samoa,0,2020-09-01
Arizona,199459,2020-09-01
Arkansas,58023,2020-09-01
California,679099,2020-09-01
Colorado,55994,2020-09-01
Connecticut,52220,2020-09-01
Delaware,16976,2020-09-01
District of Columbia,13722,2020-09-01
Florida,602113,2020-09-01
Georgia,260590,2020-09-01
Guam,1232,2020-09-01
Hawaii,6738,2020-09-01
Idaho,30780,2020-09-01
Illinois,227044,2020-09-01
Indiana,89359,2020-09-01
Iowa,58215,2020-09-01
Kansas,39937,2020-09-01
Kentucky,45230,2020-09-01
Louisiana,145661,2020-09-01
Maine,4416,2020-09-01
Marshall Islands,0,2020-09-01
Maryland,106063,2020-09-01
Massachusetts,126503,2020-09-01
Michigan,109480,2020-09-01
Micronesia,0,2020-09-01
Minnesota,72390,2020-09-01
Mississippi,80695,2020-09-01
Missouri,78062,2020-09-01
Montana,6785,2020-09-01
Nebraska,32727,2020-09-01
Nevada,66938,2020-09-01
New Hampshire,7159,2020-09-01
New Jersey,190306,2020-09-01
New Mexico,24732,2020-09-01
New York,432458,2020-09-01
North Carolina,158985,2020-09-01
North Dakota,10800,2020-09-01
Northern Marianas,54,2020-09-01
Ohio,117584,2020-09-01
Oklahoma,59715,2020-09-01
Oregon,25571,2020-09-01
Palau,0,2020-09-01
Pennsylvania,130536,2020-09-01
Puerto Rico,31383,2020-09-01
Rhode Island,21454,2020-09-01
South Carolina,114093,2020-09-01
South Dakota,11571,2020-09-01
Tennessee,147353,2020-09-01
Texas,592137,2020-09-01
Utah,50870,2020-09-01
Vermont,1577,2020-09-01
Virgin Islands,1052,2020-09-01
Virginia,116579,2020-09-01
Washington,72161,2020-09-01
West Virginia,9540,2020-09-01
Wisconsin,77092,2020-09-01
Wyoming,3684,2020-09-01
Alabama,119254,2020-09-01
Alaska,4895,2020-09-01
American Samoa,0,2020-09-01
Arizona,199459,2020-09-01
Arkansas,58023,2020-09-01
California,679099,2020-09-01
Colorado,55994,2020-09-01
Connecticut,52220,2020-09-01
Delaware,16976,2020-09-01
District of Columbia,13722,2020-09-01
Florida,602113,2020-09-01
Georgia,260590,2020-09-01
Guam,1232,2020-09-01
Hawaii,6738,2020-09-01
Idaho,30780,2020-09-01
Illinois,227044,2020-09-01
Indiana,89359,2020-09-01
Iowa,58215,2020-09-01
Kansas,39937,2020-09-01
Kentucky,45230,2020-09-01
Louisiana,145661,2020-09-01
Maine,4416,2020-09-01
Marshall Islands,0,2020-09-01
Maryland,106063,2020-09-01
Massachusetts,126503,2020-09-01
Michigan,109480,2020-09-01
Micronesia,0,2020-09-01
Minnesota,72390,2020-09-01
Mississippi,80695,2020-09-01
Missouri,78062,2020-09-01
Montana,6785,2020-09-01
Nebraska,32727,2020-09-01
Nevada,66938,2020-09-01
New Hampshire,7159,2020-09-01
New Jersey,190306,2020-09-01
New Mexico,24732,2020-09-01
New York,432458,2020-09-01
North Carolina,158985,2020-09-01
North Dakota,10800,2020-09-01
Northern Marianas,54,2020-09-01
Ohio,117584,2020-09-01
Oklahoma,59715,2020-09-01
Oregon,25571,2020-09-01
Palau,0,2020-09-01
Pennsylvania,130536,2020-09-01
Puerto Rico,31383,2020-09-01
Rhode Island,21454,2020-09-01
South Carolina,114093,2020-09-01
South Dakota,11571,2020-09-01
Tennessee,147353,2020-09-01
Texas,592137,2020-09-01
Utah,50870,2020-09-01
Vermont,1577,2020-09-01
Virgin Islands,1052,2020-09-01
Virginia,116579,2020-09-01
Washington,72161,2020-09-01
West Virginia,9540,2020-09-01
Wisconsin,77092,2020-09-01
Wyoming,3684,2020-09-01
Alabama,119254,2020-09-01
Alaska,4895,2020-09-01
American Samoa,0,2020-09-01
Arizona,199459,2020-09-01
Arkansas,58023,2020-09-01
California,679099,2020-09-01
Colorado,55994,2020-09-01
Connecticut,52220,2020-09-01
Delaware,16976,2020-09-01
District of Columbia,13722,2020-09-01
Florida,602113,2020-09-01
Georgia,260590,2020-09-01
Guam,1232,2020-09-01
Hawaii,6738,2020-09-01
Idaho,30780,2020-09-01
Illinois,227044,2020-09-01
Indiana,89359,2020-09-01
Iowa,58215,2020-09-01
Kansas,39937,2020-09-01
Kentucky,45230,2020-09-01
Louisiana,145661,2020-09-01
Maine,4416,2020-09-01
Marshall Islands,0,2020-09-01
Maryland,106063,2020-09-01
Massachusetts,126503,2020-09-01
Michigan,109480,2020-09-01
Micronesia,0,2020-09-01
Minnesota,72390,2020-09-01
Mississippi,80695,2020-09-01
Missouri,78062,2020-09-01
Montana,6785,2020-09-01
Nebraska,32727,2020-09-01
Nevada,66938,2020-09-01
New Hampshire,7159,2020-09-01
New Jersey,190306,2020-09-01
New Mexico,24732,2020-09-01
New York,432458,2020-09-01
North Carolina,158985,2020-09-01
North Dakota,10800,2020-09-01
Northern Marianas,54,2020-09-01
Ohio,117584,2020-09-01
Oklahoma,59715,2020-09-01
Oregon,25571,2020-09-01
Palau,0,2020-09-01
Pennsylvania,130536,2020-09-01
Puerto Rico,31383,2020-09-01
Rhode Island,21454,2020-09-01
South Carolina,114093,2020-09-01
South Dakota,11571,2020-09-01
Tennessee,147353,2020-09-01
Texas,592137,2020-09-01
Utah,50870,2020-09-01
Vermont,1577,2020-09-01
Virgin Islands,1052,2020-09-01
Virginia,116579,2020-09-01
Washington,72161,2020-09-01
West Virginia,9540,2020-09-01
Wisconsin,77092,2020-09-01
Wyoming,3684,2020-09-01
Alabama,119254,2020-09-01
Alaska,4895,2020-09-01
American Samoa,0,2020-09-01
Arizona,199459,2020-09-01
Arkansas,58023,2020-09-01
California,679099,2020-09-01
Colorado,55994,2020-09-01
Connecticut,52220,2020-09-01
Delaware,16976,2020-09-01
District of Columbia,13722,2020-09-01
Florida,602113,2020-09-01
Georgia,260590,2020-09-01
Guam,1232,2020-09-01
Hawaii,6738,2020-09-01
Idaho,30780,2020-09-01
Illinois,227044,2020-09-01
Indiana,89359,2020-09-01
Iowa,58215,2020-09-01
Kansas,39937,2020-09-01
Kentucky,45230,2020-09-01
Louisiana,145661,2020-09-01
Maine,4416,2020-09-01
Marshall Islands,0,2020-09-01
Maryland,106063,2020-09-01
Massachusetts,126503,2020-09-01
Michigan,109480,2020-09-01
Micronesia,0,2020-09-01
Minnesota,72390,2020-09-01
Mississippi,80695,2020-09-01
Missouri,78062,2020-09-01
Montana,6785,2020-09-01
Nebraska,32727,2020-09-01
Nevada,66938,2020-09-01
New Hampshire,7159,2020-09-01
New Jersey,190306,2020-09-01
New Mexico,24732,2020-09-01
New York,432458,2020-09-01
North Carolina,158985,2020-09-01
North Dakota,10800,2020-09-01
Northern Marianas,54,2020-09-01
Ohio,117584,2020-09-01
Oklahoma,59715,2020-09-01
Oregon,25571,2020-09-01
Palau,0,2020-09-01
Pennsylvania,130536,2020-09-01
Puerto Rico,31383,2020-09-01
Rhode Island,21454,2020-09-01
South Carolina,114093,2020-09-01
South Dakota,11571,2020-09-01
Tennessee,147353,2020-09-01
Texas,592137,2020-09-01
Utah,50870,2020-09-01
Vermont,1577,2020-09-01
Virgin Islands,1052,2020-09-01
Virginia,116579,2020-09-01
Washington,72161,2020-09-01
West Virginia,9540,2020-09-01
Wisconsin,77092,2020-09-01
Wyoming,3684,2020-09-01
Alabama,119254,2020-09-01
Alaska,4895,2020-09-01
American Samoa,0,2020-09-01
Arizona,199459,2020-09-01
Arkansas,58023,2020-09-01
California,679099,2020-09-01
Colorado,55994,2020-09-01
Connecticut,52220,2020-09-01
Delaware,16976,2020-09-01
District of Columbia,13722,2020-09-01
Florida,602113,2020-09-01
Georgia,260590,2020-09-01
Guam,1232,2020-09-01
Hawaii,6738,2020-09-01
Idaho,30780,2020-09-01
Illinois,227044,2020-09-01
Indiana,89359,2020-09-01
Iowa,58215,2020-09-01
Kansas,39937,2020-09-01
Kentucky,45230,2020-09-01
Louisiana,145661,2020-09-01
Maine,4416,2020-09-01
Marshall Islands,0,2020-09-01
Maryland,106063,2020-09-01
Massachusetts,126503,2020-09-01
Michigan,109480,2020-09-01
Micronesia,0,2020-09-01
Minnesota,72390,2020-09-01
Mississippi,80695,2020-09-01
Missouri,78062,2020-09-01
Montana,6785,2020-09-01
Nebraska,32727,2020-09-01
Nevada,66938,2020-09-01
New Hampshire,7159,2020-09-01
New Jersey,190306,2020-09-01
New Mexico,24732,2020-09-01
New York,432458,2020-09-01
North Carolina,158985,2020-09-01
North Dakota,10800,2020-09-01
Northern Marianas,54,2020-09-01
Ohio,117584,2020-09-01
Oklahoma,59715,2020-09-01
Oregon,25571,2020-09-01
Palau,0,2020-09-01
Pennsylvania,130536,2020-09-01
Puerto Rico,31383,2020-09-01
Rhode Island,21454,2020-09-01
South Carolina,114093,2020-09-01
South Dakota,11571,2020-09-01
Tennessee,147353,2020-09-01
Texas,592137,2020-09-01
Utah,50870,2020-09-01
Vermont,1577,2020-09-01
Virgin Islands,1052,2020-09-01
Virginia,116579,2020-09-01
Washington,72161,2020-09-01
West Virginia,9540,2020-09-01
Wisconsin,77092,2020-09-01
Wyoming,3684,2020-09-01
Alabama,119254,2020-09-01
Alaska,4895,2020-09-01
American Samoa,0,2020-09-01
Arizona,199459,2020-09-01
Arkansas,58023,2020-09-01
California,679099,2020-09-01
Colorado,55994,2020-09-01
Connecticut,52220,2020-09-01
Delaware,16976,2020-09-01
District of Columbia,13722,2020-09-01
Florida,602113,2020-09-01
Georgia,260590,2020-09-01
Guam,1232,2020-09-01
Hawaii,6738,2020-09-01
Idaho,30780,2020-09-01
Illinois,227044,2020-09-01
Indiana,89359,2020-09-01
Iowa,58215,2020-09-01
Kansas,39937,2020-09-01
Kentucky,45230,2020-09-01
Louisiana,145661,2020-09-01
Maine,4416,2020-09-01
Marshall Islands,0,2020-09-01
Maryland,106063,2020-09-01
Massachusetts,126503,2020-09-01
Michigan,109480,2020-09-01
Micronesia,0,2020-09-01
Minnesota,72390,2020-09-01
Mississippi,80695,2020-09-01
Missouri,78062,2020-09-01
Montana,6785,2020-09-01
Nebraska,32727,2020-09-01
Nevada,66938,2020-09-01
New Hampshire,7159,2020-09-01
New Jersey,190306,2020-09-01
New Mexico,24732,2020-09-01
New York,432458,2020-09-01
North Carolina,158985,2020-09-01
North Dakota,10800,2020-09-01
Northern Marianas,54,2020-09-01
Ohio,117584,2020-09-01
Oklahoma,59715,2020-09-01
Oregon,25571,2020-09-01
Palau,0,2020-09-01
Pennsylvania,130536,2020-09-01
Puerto Rico,31383,2020-09-01
Rhode Island,21454,2020-09-01
South Carolina,114093,2020-09-01
South Dakota,11571,2020-09-01
Tennessee,147353,2020-09-01
Texas,592137,2020-09-01
Utah,50870,2020-09-01
Vermont,1577,2020-09-01
Virgin Islands,1052,2020-09-01
Virginia,116579,2020-09-01
Washington,72161,2020-09-01
West Virginia,9540,2020-09-01
Wisconsin,77092,2020-09-01
Wyoming,3684,2020-09-01
Alabama,119254,2020-09-02
Alaska,4895,2020-09-02
American Samoa,0,2020-09-02
Arizona,199459,2020-09-02
Arkansas,58023,2020-09-02
California,679099,2020-09-02
Colorado,55994,2020-09-02
Connecticut,52220,2020-09-02
Delaware,16976,2020-09-02
District of Columbia,13722,2020-09-02
Florida,602113,2020-09-02
Georgia,260590,2020-09-02
Guam,1232,2020-09-02
Hawaii,6738,2020-09-02
Idaho,30780,2020-09-02
Illinois,227044,2020-09-02
Indiana,89359,2020-09-02
Iowa,58215,2020-09-02
Kansas,39937,2020-09-02
Kentucky,45230,2020-09-02
Louisiana,145661,2020-09-02
Maine,4416,2020-09-02
Marshall Islands,0,2020-09-02
Maryland,106063,2020-09-02
Massachusetts,126503,2020-09-02
Michigan,109480,2020-09-02
Micronesia,0,2020-09-02
Minnesota,72390,2020-09-02
Mississippi,80695,2020-09-02
Missouri,78062,2020-09-02
Montana,6785,2020-09-02
Nebraska,32727,2020-09-02
Nevada,66938,2020-09-02
New Hampshire,7159,2020-09-02
New Jersey,190306,2020-09-02
New Mexico,24732,2020-09-02
New York,432458,2020-09-02
North Carolina,158985,2020-09-02
North Dakota,10800,2020-09-02
Northern Marianas,54,2020-09-02
Ohio,117584,2020-09-02
Oklahoma,59715,2020-09-02
Oregon,25571,2020-09-02
Palau,0,2020-09-02
Pennsylvania,130536,2020-09-02
Puerto Rico,31383,2020-09-02
Rhode Island,21454,2020-09-02
South Carolina,114093,2020-09-02
South Dakota,11571,2020-09-02
Tennessee,147353,2020-09-02
Texas,592137,2020-09-02
Utah,50870,2020-09-02
Vermont,1577,2020-09-02
Virgin Islands,1052,2020-09-02
Virginia,116579,2020-09-02
Washington,72161,2020-09-02
West Virginia,9540,2020-09-02
Wisconsin,77092,2020-09-02
Wyoming,3684,2020-09-02
Alabama,119254,2020-09-02
Alaska,4895,2020-09-02
American Samoa,0,2020-09-02
Arizona,199459,2020-09-02
Arkansas,58023,2020-09-02
California,679099,2020-09-02
Colorado,55994,2020-09-02
Connecticut,52220,2020-09-02
Delaware,16976,2020-09-02
District of Columbia,13722,2020-09-02
Florida,602113,2020-09-02
Georgia,260590,2020-09-02
Guam,1232,2020-09-02
Hawaii,6738,2020-09-02
Idaho,30780,2020-09-02
Illinois,227044,2020-09-02
Indiana,89359,2020-09-02
Iowa,58215,2020-09-02
Kansas,39937,2020-09-02
Kentucky,45230,2020-09-02
Louisiana,145661,2020-09-02
Maine,4416,2020-09-02
Marshall Islands,0,2020-09-02
Maryland,106063,2020-09-02
Massachusetts,126503,2020-09-02
Michigan,109480,2020-09-02
Micronesia,0,2020-09-02
Minnesota,72390,2020-09-02
Mississippi,80695,2020-09-02
Missouri,78062,2020-09-02
Montana,6785,2020-09-02
Nebraska,32727,2020-09-02
Nevada,66938,2020-09-02
New Hampshire,7159,2020-09-02
New Jersey,190306,2020-09-02
New Mexico,24732,2020-09-02
New York,432458,2020-09-02
North Carolina,158985,2020-09-02
North Dakota,10800,2020-09-02
Northern Marianas,54,2020-09-02
Ohio,117584,2020-09-02
Oklahoma,59715,2020-09-02
Oregon,25571,2020-09-02
Palau,0,2020-09-02
Pennsylvania,130536,2020-09-02
Puerto Rico,31383,2020-09-02
Rhode Island,21454,2020-09-02
South Carolina,114093,2020-09-02
South Dakota,11571,2020-09-02
Tennessee,147353,2020-09-02
Texas,592137,2020-09-02
Utah,50870,2020-09-02
Vermont,1577,2020-09-02
Virgin Islands,1052,2020-09-02
Virginia,116579,2020-09-02
Washington,72161,2020-09-02
West Virginia,9540,2020-09-02
Wisconsin,77092,2020-09-02
Wyoming,3684,2020-09-02
Alabama,119254,2020-09-02
Alaska,4895,2020-09-02
American Samoa,0,2020-09-02
Arizona,199459,2020-09-02
Arkansas,58023,2020-09-02
California,679099,2020-09-02
Colorado,55994,2020-09-02
Connecticut,52220,2020-09-02
Delaware,16976,2020-09-02
District of Columbia,13722,2020-09-02
Florida,602113,2020-09-02
Georgia,260590,2020-09-02
Guam,1232,2020-09-02
Hawaii,6738,2020-09-02
Idaho,30780,2020-09-02
Illinois,227044,2020-09-02
Indiana,89359,2020-09-02
Iowa,58215,2020-09-02
Kansas,39937,2020-09-02
Kentucky,45230,2020-09-02
Louisiana,145661,2020-09-02
Maine,4416,2020-09-02
Marshall Islands,0,2020-09-02
Maryland,106063,2020-09-02
Massachusetts,126503,2020-09-02
Michigan,109480,2020-09-02
Micronesia,0,2020-09-02
Minnesota,72390,2020-09-02
Mississippi,80695,2020-09-02
Missouri,78062,2020-09-02
Montana,6785,2020-09-02
Nebraska,32727,2020-09-02
Nevada,66938,2020-09-02
New Hampshire,7159,2020-09-02
New Jersey,190306,2020-09-02
New Mexico,24732,2020-09-02
New York,432458,2020-09-02
North Carolina,158985,2020-09-02
North Dakota,10800,2020-09-02
Northern Marianas,54,2020-09-02
Ohio,117584,2020-09-02
Oklahoma,59715,2020-09-02
Oregon,25571,2020-09-02
Palau,0,2020-09-02
Pennsylvania,130536,2020-09-02
Puerto Rico,31383,2020-09-02
Rhode Island,21454,2020-09-02
South Carolina,114093,2020-09-02
South Dakota,11571,2020-09-02
Tennessee,147353,2020-09-02
Texas,592137,2020-09-02
Utah,50870,2020-09-02
Vermont,1577,2020-09-02
Virgin Islands,1052,2020-09-02
Virginia,116579,2020-09-02
Washington,72161,2020-09-02
West Virginia,9540,2020-09-02
Wisconsin,77092,2020-09-02
Wyoming,3684,2020-09-02
Alabama,119254,2020-09-02
Alaska,4895,2020-09-02
American Samoa,0,2020-09-02
Arizona,199459,2020-09-02
Arkansas,58023,2020-09-02
California,679099,2020-09-02
Colorado,55994,2020-09-02
Connecticut,52220,2020-09-02
Delaware,16976,2020-09-02
District of Columbia,13722,2020-09-02
Florida,602113,2020-09-02
Georgia,260590,2020-09-02
Guam,1232,2020-09-02
Hawaii,6738,2020-09-02
Idaho,30780,2020-09-02
Illinois,227044,2020-09-02
Indiana,89359,2020-09-02
Iowa,58215,2020-09-02
Kansas,39937,2020-09-02
Kentucky,45230,2020-09-02
Louisiana,145661,2020-09-02
Maine,4416,2020-09-02
Marshall Islands,0,2020-09-02
Maryland,106063,2020-09-02
Massachusetts,126503,2020-09-02
Michigan,109480,2020-09-02
Micronesia,0,2020-09-02
Minnesota,72390,2020-09-02
Mississippi,80695,2020-09-02
Missouri,78062,2020-09-02
Montana,6785,2020-09-02
Nebraska,32727,2020-09-02
Nevada,66938,2020-09-02
New Hampshire,7159,2020-09-02
New Jersey,190306,2020-09-02
New Mexico,24732,2020-09-02
New York,432458,2020-09-02
North Carolina,158985,2020-09-02
North Dakota,10800,2020-09-02
Northern Marianas,54,2020-09-02
Ohio,117584,2020-09-02
Oklahoma,59715,2020-09-02
Oregon,25571,2020-09-02
Palau,0,2020-09-02
Pennsylvania,130536,2020-09-02
Puerto Rico,31383,2020-09-02
Rhode Island,21454,2020-09-02
South Carolina,114093,2020-09-02
South Dakota,11571,2020-09-02
Tennessee,147353,2020-09-02
Texas,592137,2020-09-02
Utah,50870,2020-09-02
Vermont,1577,2020-09-02
Virgin Islands,1052,2020-09-02
Virginia,116579,2020-09-02
Washington,72161,2020-09-02
West Virginia,9540,2020-09-02
Wisconsin,77092,2020-09-02
Wyoming,3684,2020-09-02
Alabama,119254,2020-09-03
Alaska,4895,2020-09-03
American Samoa,0,2020-09-03
Arizona,199459,2020-09-03
Arkansas,58023,2020-09-03
California,679099,2020-09-03
Colorado,55994,2020-09-03
Connecticut,52220,2020-09-03
Delaware,16976,2020-09-03
District of Columbia,13722,2020-09-03
Florida,602113,2020-09-03
Georgia,260590,2020-09-03
Guam,1232,2020-09-03
Hawaii,6738,2020-09-03
Idaho,30780,2020-09-03
Illinois,227044,2020-09-03
Indiana,89359,2020-09-03
Iowa,58215,2020-09-03
Kansas,39937,2020-09-03
Kentucky,45230,2020-09-03
Louisiana,145661,2020-09-03
Maine,4416,2020-09-03
Marshall Islands,0,2020-09-03
Maryland,106063,2020-09-03
Massachusetts,126503,2020-09-03
Michigan,109480,2020-09-03
Micronesia,0,2020-09-03
Minnesota,72390,2020-09-03
Mississippi,80695,2020-09-03
Missouri,78062,2020-09-03
Montana,6785,2020-09-03
Nebraska,32727,2020-09-03
Nevada,66938,2020-09-03
New Hampshire,7159,2020-09-03
New Jersey,190306,2020-09-03
New Mexico,24732,2020-09-03
New York,432458,2020-09-03
North Carolina,158985,2020-09-03
North Dakota,10800,2020-09-03
Northern Marianas,54,2020-09-03
Ohio,117584,2020-09-03
Oklahoma,59715,2020-09-03
Oregon,25571,2020-09-03
Palau,0,2020-09-03
Pennsylvania,130536,2020-09-03
Puerto Rico,31383,2020-09-03
Rhode Island,21454,2020-09-03
South Carolina,114093,2020-09-03
South Dakota,11571,2020-09-03
Tennessee,147353,2020-09-03
Texas,592137,2020-09-03
Utah,50870,2020-09-03
Vermont,1577,2020-09-03
Virgin Islands,1052,2020-09-03
Virginia,116579,2020-09-03
Washington,72161,2020-09-03
West Virginia,9540,2020-09-03
Wisconsin,77092,2020-09-03
Wyoming,3684,2020-09-03
Alabama,119254,2020-09-03
Alaska,4895,2020-09-03
American Samoa,0,2020-09-03
Arizona,199459,2020-09-03
Arkansas,58023,2020-09-03
California,679099,2020-09-03
Colorado,55994,2020-09-03
Connecticut,52220,2020-09-03
Delaware,16976,2020-09-03
District of Columbia,13722,2020-09-03
Florida,602113,2020-09-03
Georgia,260590,2020-09-03
Guam,1232,2020-09-03
Hawaii,6738,2020-09-03
Idaho,30780,2020-09-03
Illinois,227044,2020-09-03
Indiana,89359,2020-09-03
Iowa,58215,2020-09-03
Kansas,39937,2020-09-03
Kentucky,45230,2020-09-03
Louisiana,145661,2020-09-03
Maine,4416,2020-09-03
Marshall Islands,0,2020-09-03
Maryland,106063,2020-09-03
Massachusetts,126503,2020-09-03
Michigan,109480,2020-09-03
Micronesia,0,2020-09-03
Minnesota,72390,2020-09-03
Mississippi,80695,2020-09-03
Missouri,78062,2020-09-03
Montana,6785,2020-09-03
Nebraska,32727,2020-09-03
Nevada,66938,2020-09-03
New Hampshire,7159,2020-09-03
New Jersey,190306,2020-09-03
New Mexico,24732,2020-09-03
New York,432458,2020-09-03
North Carolina,158985,2020-09-03
North Dakota,10800,2020-09-03
Northern Marianas,54,2020-09-03
Ohio,117584,2020-09-03
Oklahoma,59715,2020-09-03
Oregon,25571,2020-09-03
Palau,0,2020-09-03
Pennsylvania,130536,2020-09-03
Puerto Rico,31383,2020-09-03
Rhode Island,21454,2020-09-03
South Carolina,114093,2020-09-03
South Dakota,11571,2020-09-03
Tennessee,147353,2020-09-03
Texas,592137,2020-09-03
Utah,50870,2020-09-03
Vermont,1577,2020-09-03
Virgin Islands,1052,2020-09-03
Virginia,116579,2020-09-03
Washington,72161,2020-09-03
West Virginia,9540,2020-09-03
Wisconsin,77092,2020-09-03
Wyoming,3684,2020-09-03
Alabama,119254,2020-09-04
Alaska,4895,2020-09-04
American Samoa,0,2020-09-04
Arizona,199459,2020-09-04
Arkansas,58023,2020-09-04
California,679099,2020-09-04
Colorado,55994,2020-09-04
Connecticut,52220,2020-09-04
Delaware,16976,2020-09-04
District of Columbia,13722,2020-09-04
Florida,602113,2020-09-04
Georgia,260590,2020-09-04
Guam,1232,2020-09-04
Hawaii,6738,2020-09-04
Idaho,30780,2020-09-04
Illinois,227044,2020-09-04
Indiana,89359,2020-09-04
Iowa,58215,2020-09-04
Kansas,39937,2020-09-04
Kentucky,45230,2020-09-04
Louisiana,145661,2020-09-04
Maine,4416,2020-09-04
Marshall Islands,0,2020-09-04
Maryland,106063,2020-09-04
Massachusetts,126503,2020-09-04
Michigan,109480,2020-09-04
Micronesia,0,2020-09-04
Minnesota,72390,2020-09-04
Mississippi,80695,2020-09-04
Missouri,78062,2020-09-04
Montana,6785,2020-09-04
Nebraska,32727,2020-09-04
Nevada,66938,2020-09-04
New Hampshire,7159,2020-09-04
New Jersey,190306,2020-09-04
New Mexico,24732,2020-09-04
New York,432458,2020-09-04
North Carolina,158985,2020-09-04
North Dakota,10800,2020-09-04
Northern Marianas,54,2020-09-04
Ohio,117584,2020-09-04
Oklahoma,59715,2020-09-04
Oregon,25571,2020-09-04
Palau,0,2020-09-04
Pennsylvania,130536,2020-09-04
Puerto Rico,31383,2020-09-04
Rhode Island,21454,2020-09-04
South Carolina,114093,2020-09-04
South Dakota,11571,2020-09-04
Tennessee,147353,2020-09-04
Texas,592137,2020-09-04
Utah,50870,2020-09-04
Vermont,1577,2020-09-04
Virgin Islands,1052,2020-09-04
Virginia,116579,2020-09-04
Washington,72161,2020-09-04
West Virginia,9540,2020-09-04
Wisconsin,77092,2020-09-04
Wyoming,3684,2020-09-04
Alabama,119254,2020-09-04
Alaska,4895,2020-09-04
American Samoa,0,2020-09-04
Arizona,199459,2020-09-04
Arkansas,58023,2020-09-04
California,679099,2020-09-04
Colorado,55994,2020-09-04
Connecticut,52220,2020-09-04
Delaware,16976,2020-09-04
District of Columbia,13722,2020-09-04
Florida,602113,2020-09-04
Georgia,260590,2020-09-04
Guam,1232,2020-09-04
Hawaii,6738,2020-09-04
Idaho,30780,2020-09-04
Illinois,227044,2020-09-04
Indiana,89359,2020-09-04
Iowa,58215,2020-09-04
Kansas,39937,2020-09-04
Kentucky,45230,2020-09-04
Louisiana,145661,2020-09-04
Maine,4416,2020-09-04
Marshall Islands,0,2020-09-04
Maryland,106063,2020-09-04
Massachusetts,126503,2020-09-04
Michigan,109480,2020-09-04
Micronesia,0,2020-09-04
Minnesota,72390,2020-09-04
Mississippi,80695,2020-09-04
Missouri,78062,2020-09-04
Montana,6785,2020-09-04
Nebraska,32727,2020-09-04
Nevada,66938,2020-09-04
New Hampshire,7159,2020-09-04
New Jersey,190306,2020-09-04
New Mexico,24732,2020-09-04
New York,432458,2020-09-04
North Carolina,158985,2020-09-04
North Dakota,10800,2020-09-04
Northern Marianas,54,2020-09-04
Ohio,117584,2020-09-04
Oklahoma,59715,2020-09-04
Oregon,25571,2020-09-04
Palau,0,2020-09-04
Pennsylvania,130536,2020-09-04
Puerto Rico,31383,2020-09-04
Rhode Island,21454,2020-09-04
South Carolina,114093,2020-09-04
South Dakota,11571,2020-09-04
Tennessee,147353,2020-09-04
Texas,592137,2020-09-04
Utah,50870,2020-09-04
Vermont,1577,2020-09-04
Virgin Islands,1052,2020-09-04
Virginia,116579,2020-09-04
